src/entity/Entity.java:1:	ExcessivePublicCount:	ExcessivePublicCount: This class has a bunch of public methods and attributes
src/entity/Entity.java:267:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/entity/Entity.java:270:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '270'-'273').
src/entity/Entity.java:272:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Entity.java:279:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '279'-'282').
src/entity/Entity.java:281:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Entity.java:288:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '288'-'291').
src/entity/Entity.java:290:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Entity.java:297:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '297'-'300').
src/entity/Entity.java:299:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Entity.java:308:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/Entity.java:308:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'imagepath' is not assigned and could be declared final
src/entity/Entity.java:309:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'uTool' could be declared final
src/entity/Entity.java:310:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '310'-'313').
src/entity/Entity.java:313:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/entity/Entity.java:315:	EmptyCatchBlock:	EmptyCatchBlock: Avoid empty catch blocks
src/entity/Entity.java:321:	CommentRequired:	CommentRequired: Field comments are required
src/entity/Entity.java:321:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/entity/Entity.java:323:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'd' is not assigned and could be declared final
src/entity/Entity.java:323:	ShortVariable:	ShortVariable: Avoid variables with short names like d
src/entity/Entity.java:333:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Entity.java:334:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/Entity.java:335:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/entity/Entity.java:336:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/entity/Entity.java:337:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/entity/Entity.java:338:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/entity/Entity.java:339:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/entity/Entity.java:340:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/entity/Entity.java:341:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/entity/Entity.java:342:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/entity/Entity.java:343:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/entity/Entity.java:344:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/entity/Entity.java:345:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/entity/Entity.java:346:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/entity/Entity.java:347:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/entity/Entity.java:348:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/entity/Entity.java:359:	ShortMethodName:	ShortMethodName: Avoid using short method names
src/entity/Entity.java:360:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'n' could be declared final
src/entity/Entity.java:360:	ShortVariable:	ShortVariable: Avoid variables with short names like n
src/entity/Entity.java:369:	ShortMethodName:	ShortMethodName: Avoid using short method names
src/entity/Entity.java:370:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'n' could be declared final
src/entity/Entity.java:370:	ShortVariable:	ShortVariable: Avoid variables with short names like n
src/entity/Entity.java:378:	ShortMethodName:	ShortMethodName: Avoid using short method names
src/entity/Entity.java:379:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'n' could be declared final
src/entity/Entity.java:379:	ShortVariable:	ShortVariable: Avoid variables with short names like n
src/entity/Entity.java:388:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'n' could be declared final
src/entity/Entity.java:388:	ShortVariable:	ShortVariable: Avoid variables with short names like n
src/entity/Entity.java:397:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'n' could be declared final
src/entity/Entity.java:397:	ShortVariable:	ShortVariable: Avoid variables with short names like n
src/entity/Entity.java:406:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'n' could be declared final
src/entity/Entity.java:406:	ShortVariable:	ShortVariable: Avoid variables with short names like n
src/entity/Entity.java:415:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'n' could be declared final
src/entity/Entity.java:415:	ShortVariable:	ShortVariable: Avoid variables with short names like n
src/entity/NPC_Farmer.java:7:	ClassNamingConventions:	ClassNamingConventions: The class name 'NPC_Farmer' doesn't match '[A-Z][a-zA-Z0-9]*'
src/entity/NPC_Farmer.java:7:	CommentRequired:	CommentRequired: Class comments are required
src/entity/NPC_Farmer.java:9:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/NPC_Farmer.java:9:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'gp' is not assigned and could be declared final
src/entity/NPC_Farmer.java:9:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/entity/NPC_Farmer.java:14:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method 'getImage' called during object construction
src/entity/NPC_Farmer.java:15:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method 'setDialouge' called during object construction
src/entity/NPC_Farmer.java:17:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/NPC_Farmer.java:17:	LinguisticNaming:	LinguisticNaming: Linguistics Antipattern - The getter 'getImage' should not return void linguistically
src/entity/NPC_Farmer.java:28:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/NPC_Farmer.java:33:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/NPC_Farmer.java:33:	MissingOverride:	MissingOverride: The method 'setAction()' is missing an @Override annotation.
src/entity/NPC_Farmer.java:35:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/NPC_Farmer.java:36:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'random' could be declared final
src/entity/NPC_Farmer.java:37:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'i' could be declared final
src/entity/NPC_Farmer.java:37:	ShortVariable:	ShortVariable: Avoid variables with short names like i
src/entity/NPC_Farmer.java:39:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/NPC_Farmer.java:55:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/entity/NPC_Farmer.java:55:	MissingOverride:	MissingOverride: The method 'speak()' is missing an @Override annotation.
src/entity/NPC_Farmer.java:55:	UselessOverridingMethod:	UselessOverridingMethod: Overriding method merely calls super
src/entity/Player.java:3:	UnnecessaryImport:	UnnecessaryImport: Unused import 'java.util.Random'
src/entity/Player.java:3:	UnusedImports:	UnusedImports: Unused import 'java.util.Random'
src/entity/Player.java:4:	UnnecessaryImport:	UnnecessaryImport: Unused import 'java.awt.Color'
src/entity/Player.java:4:	UnusedImports:	UnusedImports: Unused import 'java.awt.Color'
src/entity/Player.java:8:	UnnecessaryImport:	UnnecessaryImport: Unused import 'java.io.IOException'
src/entity/Player.java:8:	UnusedImports:	UnusedImports: Unused import 'java.io.IOException'
src/entity/Player.java:10:	UnnecessaryImport:	UnnecessaryImport: Unused import 'javax.imageio.ImageIO'
src/entity/Player.java:10:	UnusedImports:	UnusedImports: Unused import 'javax.imageio.ImageIO'
src/entity/Player.java:15:	UnnecessaryImport:	UnnecessaryImport: Unused import 'main.UtilityTool'
src/entity/Player.java:15:	UnusedImports:	UnusedImports: Unused import 'main.UtilityTool'
src/entity/Player.java:21:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Player.java:25:	ModifiedCyclomaticComplexity:	ModifiedCyclomaticComplexity: The class 'Player' has a Modified Cyclomatic Complexity of 4 (Highest = 14).
src/entity/Player.java:25:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The class 'Player' has a Standard Cyclomatic Complexity of 4 (Highest = 17).
src/entity/Player.java:26:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the gp field if you want a default access modifier
src/entity/Player.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/entity/Player.java:26:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/entity/Player.java:26:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/entity/Player.java:27:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: To avoid mistakes add a comment at the beginning of the keyH field if you want a default access modifier
src/entity/Player.java:27:	CommentRequired:	CommentRequired: Field comments are required
src/entity/Player.java:27:	DefaultPackage:	DefaultPackage: Use explicit scoping instead of the default package private level
src/entity/Player.java:39:	LooseCoupling:	LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead
src/entity/Player.java:43:	FinalFieldCouldBeStatic:	FinalFieldCouldBeStatic: This final field could be made static
src/entity/Player.java:50:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'gp' is not assigned and could be declared final
src/entity/Player.java:50:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'keyH' is not assigned and could be declared final
src/entity/Player.java:50:	ShortVariable:	ShortVariable: Avoid variables with short names like gp
src/entity/Player.java:67:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method 'setDeafaultValues' called during object construction
src/entity/Player.java:68:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method 'getPlayerImage' called during object construction
src/entity/Player.java:69:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method 'setItems' called during object construction
src/entity/Player.java:79:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal "down" appears 4 times in this file; the first occurrence is on line 79
src/entity/Player.java:157:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'holder' could be declared final
src/entity/Player.java:172:	LinguisticNaming:	LinguisticNaming: Linguistics Antipattern - The getter 'getPlayerImage' should not return void linguistically
src/entity/Player.java:189:	CommentSize:	CommentSize: Comment is too large: Line too long
src/entity/Player.java:191:	CognitiveComplexity:	CognitiveComplexity: The method 'update()' has a cognitive complexity of 18, current threshold is 15
src/entity/Player.java:191:	CyclomaticComplexity:	CyclomaticComplexity: The method 'update()' has a cyclomatic complexity of 17.
src/entity/Player.java:191:	MissingOverride:	MissingOverride: The method 'update()' is missing an @Override annotation.
src/entity/Player.java:191:	ModifiedCyclomaticComplexity:	ModifiedCyclomaticComplexity: The method 'update' has a Modified Cyclomatic Complexity of 11.
src/entity/Player.java:191:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The method 'update' has a Standard Cyclomatic Complexity of 14.
src/entity/Player.java:193:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:193:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:193:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:193:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:194:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:198:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:202:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:206:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:212:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/entity/Player.java:215:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/entity/Player.java:215:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'objIndex' could be declared final
src/entity/Player.java:219:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/entity/Player.java:219:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'npcIndex' could be declared final
src/entity/Player.java:223:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (static property access)
src/entity/Player.java:229:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/entity/Player.java:230:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/entity/Player.java:248:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:252:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:265:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'i' is not assigned and could be declared final
src/entity/Player.java:265:	ShortVariable:	ShortVariable: Avoid variables with short names like i
src/entity/Player.java:266:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:266:	EmptyControlStatement:	EmptyControlStatement: Empty if statement
src/entity/Player.java:266:	EmptyIfStmt:	EmptyIfStmt: Avoid empty if statements
src/entity/Player.java:275:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'i' is not assigned and could be declared final
src/entity/Player.java:275:	ShortVariable:	ShortVariable: Avoid variables with short names like i
src/entity/Player.java:276:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:277:	CollapsibleIfStatements:	CollapsibleIfStatements: These nested if statements could be combined
src/entity/Player.java:289:	CognitiveComplexity:	CognitiveComplexity: The method 'draw(Graphics2D)' has a cognitive complexity of 25, current threshold is 15
src/entity/Player.java:289:	CyclomaticComplexity:	CyclomaticComplexity: The method 'draw(Graphics2D)' has a cyclomatic complexity of 17.
src/entity/Player.java:289:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'g2' is not assigned and could be declared final
src/entity/Player.java:289:	MissingOverride:	MissingOverride: The method 'draw(Graphics2D)' is missing an @Override annotation.
src/entity/Player.java:289:	ModifiedCyclomaticComplexity:	ModifiedCyclomaticComplexity: The method 'draw' has a Modified Cyclomatic Complexity of 14.
src/entity/Player.java:289:	ShortVariable:	ShortVariable: Avoid variables with short names like g2
src/entity/Player.java:289:	StdCyclomaticComplexity:	StdCyclomaticComplexity: The method 'draw' has a Standard Cyclomatic Complexity of 17.
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'294').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'297').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'300').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'305').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'308').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'311').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'316').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'319').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'322').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'327').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'330').
src/entity/Player.java:290:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '290'-'333').
src/entity/Player.java:291:	SwitchDensity:	SwitchDensity: A high ratio of statements to labels in a switch statement.  Consider refactoring.
src/entity/Player.java:291:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/entity/Player.java:294:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '294'-'297').
src/entity/Player.java:294:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '294'-'300').
src/entity/Player.java:296:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:297:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '297'-'300').
src/entity/Player.java:299:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
src/entity/Player.java:305:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '305'-'308').
src/entity/Player.java:305:	DataflowAnomalyAnalysis:	DataflowAnomalyAnalysis: Found 'DD'-anomaly for variable 'image' (lines '305'-'311').
src/entity/Player.java:307:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using Literals in Conditional Statements
